event_id,event_name,group_id
153868222,Murder Mystery Dinner Crawl. Dine at 3 Restaurants & solve the murder,5817262
184167702,Friday Night Drinks with International Travelers and Locals,1627081
215200502,"Dinner, Comedy, 100 Beers & Debauchery!",1627081
220826782,Friday Night Drinks,5817262
227948102,"AUSTRALIA DAY PARTY & Sausage Sizzle! $3 Beer/Wine, TRIPLE J, Aussie Games!",1627081
227967930,"AUSTRALIA DAY PARTY & Sausage Sizzle! $3 Beer/Wine, TRIPLE J, Aussie Games!",5817262
230034070,"Dinner, Comedy Show, 100 Beers & Debauchery!",5817262
231934675,Drinks with International Travelers,1627081
233755101,The Founding Moms Exchange: Chicago,1415286
234227980,The Waves by Virginia Woolf,19270969
236780948,Watt by Samuel Beckett,523869
236780962,Under the Skin - Michel Faber,523869
236927642,Sketch the 2nd Avenue Subway!,424879
236956770,A Confederacy of Dunces by John Kennedy Toole,523869
236956804,The Underground Railroad by Colson Whitehead,523869
238267737,Buying a Small Company Meetup,18238001
239961844,Read: The Foundation Pit by Adrei Platonov,14132062
239961885,Read: The Big Green Tent by Lyudmila Ulitskaya,14132062
240004759,Read Haji Murad and After the Ball by Tolstoy,14132062
240507712,The Amazing Adventures of Kavalier & Clay (Michael Chabon),1576459
240508096,The Brief Wondrous Life of Oscar Wao (Juno Diaz),1576459
240554090,October Meetup: Between the World and Me Ta-Nehisi Coates,1687797
240660063,Figure Studies: Sculpting the Dynamic Figure,23320964
240771398,"THE ART OF ACTIVE NETWORKING, SAN FRANCISCO Nov 6th, 2017",1562819
240771410,"THE ART OF ACTIVE NETWORKING, SAN FRANCISCO Dec 4th, 2017",1562819
240772924,"THE ART OF ACTIVE NETWORKING, NEW YORK CITY Nov 8th, 2017",1779978
240930871,The Plague - Albert Camus,9888692
240947585,Thousand Cranes - Yasunari Kawabata,9888692
241206928,The Founding Moms' Exchange: Chicago,1415286
241206937,The Founding Moms' Exchange: Chicago,1415286
241534854,Jonathan Swift's Modest Proposal and other essays,3109462
241535189,Jonathan Swift's Poetry,3109462
241609903,Be a Top FIGURE Model!,234020
241647817,Startup Expo (Admission Tickets),12165832
241718648,October  Book Club,10587782
241737136,The Paris Wife - Paula McLain,19865399
241737378,The Brief Wondrous Life of Oscar Wao - Junot Diaz,19865399
241737617,The Second Mrs. Hockaday - Susan Rivers,19865399
241772419,Of Mice and Men - John Steinbeck,9888692
241859840,"October: Witches, Sluts, Feminists: Conjuring the Sex Positive by K. Sollee",19241680
241974693,Sketch-Up at Oz Park,23109692
241974716,Sketch-Up at Field Museum (DRY MEDIA ONLY),23109692
242224440,KLIMT & RODIN: An Artistic Encounter,24480468
242224479,Robert Rauschenberg: Erasing the Rules,24480468
242343895,Purple Hibiscus by Chimamanda Ngozi Adichie,1687306
242420095,Applications for GENIUS NY 2.0 Now Open,192035
242492982,Something Wicked This Way Comes by Ray Bradbury,18286122
242492991,Black Hole by Charles Burns,18286122
242493000,And Then There Were None by Agatha Christie,18286122
242496249,"New York 2140, by Kim Stanley Robinson",1760874
242496304,Holiday Book Grab Bag,1760874
242505075,"The Fellowship: The Literary Lives of the Inklings, by Philip & Carol Zaleski",19737006
242566638,Duly Noted - A Musical Improv Jam at The Playground - Learn and Play for Only $5,16621602
242566671,Duly Noted - A Musical Improv Jam at The Playground - Learn and Play for Only $5,16621602
242567901,Smart Mobility Powered by the Open Innovation Club,7871552
242568013,Robotics Powered by the Open Innovation Club,7871552
242568066,Chatbot Powered by the Open Innovation Club,7871552
242721115,Chicago Sinfonietta: Regressar /Revisit - A Dia de Los Muertos Celebration,8588222
242764812,Network After Work at Virgin Hotel,1452441
242768005,NYC Online Lending Meetup,7563152
242803119,The Last Pig Screening,2148441
242857424,Sketching in the Gallery at The Morgan Library and Museum,9201702
242917289,Power Networking at Joy District!,17052382
242917895,Power Networking at Joy District!,18178873
242930232,ACCELERATE WORKSHOP NYC 2017: The Science of Scaling Efficiently,4274752
242936659,Power Networking at Joy District!,1401259
242936750,Power Networking at Joy District!,1522351
242945227,Power Networking at Joy District!,784190
242945605,Power Networking at Joy District!,11268652
242945638,Power Networking at Joy District!,450158
242945681,Power Networking at Joy District!,4113422
242945744,Power Networking at Joy District!,17318002
242955407,62) Rebecca by Daphne Du Maurier,3303222
242986458,ACCELERATE WORKSHOP NYC 2017: The Science of Scaling Efficiently,18015282
242992573,Network After Work at Stock In Trade,1695578
243027536,Power Networking at Joy District!,17182192
243029978,Power Networking at Joy District!,13606792
243035901,Power Networking at Joy District!,1350959
243039852,UNDERGROUND NEW YORK CITY (Private Group Tour),224401
243040658,UNDERGROUND NEW YORK CITY (Private Group Tour),1617532
243074802,Let's see the Korean movie Split,20921213
243146974,Network After Work at Redford,1695578
243181110,FiDi Toastmasters - SF Financial District!,2562842
243181129,FiDi Toastmasters - SF Financial District!,2562842
243181136,FiDi Toastmasters - SF Financial District!,2562842
243231007,Happy Hour at Grand Central:A Casual After Work Party Discount Drinks Great Food,1617532
243252477,Live Model Drawing - National Arts Club,9201702
243252512,Live Model Drawing - Union Square,9201702
243268609,The Great Murder Mystery at Grand Central Scavenger Hunt and Party *PRE-PAY ONLY,1617532
243268833,Grand Central History Tour and Happy Hour *PRE-PAY ONLY EVENT*,1617532
243282124,Surprise Bookshelf Series: Daren Wang: The Hidden Light of Northern Fires,25260287
243282557,"Tuesday First Books: Alexis Okeowo: A Moonless, Starless Sky",25260287
243282572,Surprise Bookshelf Series: James McGrath Morris: The Ambulance Drivers,25260287
243282717,Childrens Author Storytime (Patricia Toht),25260287
243282738,Liesl Olson: Chicago Renaissance: Literature and Art in the Midwest Metropolis,25260287
243282750,Surprise Bookshelf Series: Heid Erdrich,25260287
243306562,Let's see Yoni Ki Baat,20921213
243350950,Meet and Network with Us at Fogo De Chao!,17052382
243351308,Meet and Network with Us at Fogo De Chao!,18178873
243351492,Meet and Network with Us at Fogo De Chao!,17318002
243352178,Meet and Network with Us at Fogo De Chao!,11268652
243352516,Meet and Network with Us at Fogo De Chao!,450158
243352551,Meet and Network with Us at Fogo De Chao!,4113422
243352746,Meet and Network with Us at Fogo De Chao!,784190
243352868,Meet and Network with Us at Fogo De Chao!,18413926
243359966,Watercolor Basics - Part 2!,21781777
243391446,November's book club meeting,3674392
243414666,Seinfeld Trivia Meetup,1662259
243414895,Seinfeld Trivia Meetup,224401
243415563,"Seinfeld Trivia Night... Hello, Jerry.",1617532
243416537,Meet and Network at Fogo De Chao!,17182192
243418708,Meet and Network at Fogo De Chao!,1350959
243420085,Meet and Network at Fogo De Chao!,1401259
243452942,Arabian Nights: Tales of 1001 Nights,3109462
243453657,Mason & Dixon Part 3,3109462
243456153,The Handmaid's Tale - Margaret Atwood,9888692
243464198,Book Club Meeting: The Girl With All The Gifts by M.R. Carey,22234256
243466563,Peter Durand in town to teach us Graphic Facilitation & Recording,11327592
243479997,Sketchy Hour at Richard's Bar,23109692
243497165,Improv Games for Technologists,25937110
243501686,Birds of Beauty painting party! Painting Class and Event $19!,20107764
243502242,Nov/Dec Meetup: The History of Bees Maja Lunde http://bit.ly/2f3H1TK,1687797
243502265,January Meetup: Lincoln in the Bardo George Saunders http://bit.ly/2vLXTbK,1687797
243502290,February Meetup: The Ministry of Utmost Happiness Arundhati Roy,1687797
243502311,March Meetup:  Hag-Seed Margaret Atwood,1687797
243505776,Chicago Humanities Festival: Why Are All the Black Kids Sitting Together...?,20385210
243505940,Chicago Humanities Festival: The Social Life of DNA by Alondra Nelson,20385210
243506033,Chicago Humanities Festival: Edwidge Danticat,20385210
243506083,Chicago Humanities Festival: Danielle Allen's Cuz: An American Tragedy,20385210
243506216,Chicago Humanities Festival: Painting the Black Gospel by Kymberly Pinder,20385210
243506280,Danez Smith & Eve Ewing Poetry Reading,20385210
243521053,Dynamo: Practical Little Scripts with Big Impact,1160431
243522115,SQA Half-Day Seminar  on Quantitative Approaches to Retirement Planning:,5363312
243522239,"Conference: Data Science in Finance, The Final Frontier?",5363312
243525962,Communication Enhancement with Chuck Garcia,12165832
243526044,VIP Mixer,12165832
243531547,"The World That Was Ours, by Hilda Bernstein",7118242
243548174,Network After Work at Moes Cantina - Cava Room,1452441
243549790,WRITING THE SUMMARY SECTION ON YOUR RESUME,1379977
243549811,Careers in International Trade,1379977
243549835,Resource and Career Fair for Entrepreneurial Artists,1379977
243550471,Support the Indie Movie I Can I Will I Did,20921213
243556124,Potential great stock buys and more investment topics,4572572
243556422,November NY FinTech Meetup: Demo Day!,2958762
243557072,December NY FinTech Meetup: Ditch the FICO Score,2958762
243602567,Network With Bernie !,450158
243618688,Conversation and Presentation with Scout Expedition Co,7761862
243631348,Calling All ART-PRENEURS! Meetup at the Resource & Career Fair on Nov 3rd!,745184
243639321,Sketch the Central Park Cottages!,424879
243640563,Sketch Central Park's Conservatory Gardens!,424879
243640673,Sketch Central Park's USS Maine Plaza! (Columbus Circle),424879
243650743,The Founding Moms' Exchange: Chicago!,1415286
243652706,FREE!! Speakers' Series & Holistic Networking in New York,5238582
243655437,November: The Mother of All Questions by Rebecca Solnit,19241680
243666026,Calling All ART-PRENEURS! Meetup at the Resource & Career Fair on Nov 3rd!,755458
243666028,Calling All ART-PRENEURS! Meetup at the Resource & Career Fair on Nov 3rd!,10607622
243666029,Calling All ART-PRENEURS! Meetup at the Resource & Career Fair on Nov 3rd!,1771009
243666036,Calling All ART-PRENEURS! Meetup at the Resource & Career Fair on Nov 3rd!,1363368
243666038,Calling All ART-PRENEURS! Meetup at the Resource & Career Fair on Nov 3rd!,1789022
243666115,Calling All ART-PRENEURS! Meetup at the Resource & Career Fair on Nov 3rd!,1418025
243666119,Calling All ART-PRENEURS! Meetup at the Resource & Career Fair on Nov 3rd!,1539792
243666123,Calling All ART-PRENEURS! Meetup at the Resource & Career Fair on Nov 3rd!,17144942
243666126,Calling All ART-PRENEURS! Meetup at the Resource & Career Fair on Nov 3rd!,1576097
243666133,Calling All ART-PRENEURS! Meetup at the Resource & Career Fair on Nov 3rd!,652285
