State,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,0,0,0,0,0,0,0,0
Alaska,8.9,8.63,8.45,8.33,8.2,9.24,10.17,10.01
Arizona,8.33,8.18,8.34,8.38,8.36,8.5,8.4,10.22
Arkansas,7.18,6.96,6.82,6.72,6.61,7.92,8.35,8.68
California,9.19,8.91,8.72,8.6,9.52,9.51,10.43,10.22
Colorado,8.31,8.19,8.33,8.36,8.46,8.69,8.67,9.5
Connecticut,9.47,9.18,9,8.87,9.2,9.67,10.02,10.32
Delaware,8.33,8.07,7.91,7.79,8.2,8.72,8.61,8.43
District of Columbia,9.47,9.18,9,8.87,10.05,11.09,12,11.75
Federal (FLSA),8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Florida,8.33,8.07,8.37,8.37,8.39,8.5,8.4,8.27
Georgia,5.91,5.73,5.62,5.54,5.45,5.44,5.37,5.26
Guam,8.33,8.07,7.91,7.79,7.67,8.72,8.61,8.43
Hawaii,8.33,8.07,7.91,7.79,7.67,8.19,8.87,9.45
Idaho,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Illinois,9.19,9.18,9,8.87,8.73,8.72,8.61,8.43
Indiana,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Iowa,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Kansas,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Kentucky,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Louisiana,0,0,0,0,0,0,0,0
Maine,8.61,8.35,8.18,8.06,7.93,7.92,7.82,9.19
Maryland,8.33,8.07,7.91,7.79,7.67,8.72,9.13,8.94
Massachusetts,9.19,8.91,8.72,8.6,8.46,9.51,10.43,11.24
Michigan,8.5,8.24,8.07,7.95,8.62,8.61,8.87,9.09
Minnesota,7.06,6.85,6.71,6.61,8.46,9.51,9.91,9.7
Mississippi,0,0,0,0,0,0,0,0
Missouri,8.33,8.07,7.91,7.9,7.93,8.08,7.98,7.87
Montana,8.33,8.18,8.34,8.38,8.36,8.5,8.4,8.33
Nebraska,8.33,8.07,7.91,7.79,7.67,8.45,9.39,9.19
Nevada,8.67,9.18,9,8.87,8.73,8.72,8.61,8.43
New Hampshire,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
New Jersey,8.33,8.07,7.91,7.79,8.73,8.85,8.74,8.62
New Mexico,8.61,8.35,8.18,8.06,7.93,7.92,7.82,7.66
New York,8.33,8.07,7.91,7.79,8.46,9.24,9.39,9.91
North Carolina,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
North Dakota,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Ohio,8.38,8.24,8.4,8.44,8.41,8.56,8.45,8.33
Oklahoma,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Oregon,9.65,9.46,9.6,9.62,9.63,9.77,10.17,9.96
Pennsylvania,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Puerto Rico,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Rhode Island,8.5,8.24,8.07,8.33,8.46,9.51,10.02,9.81
South Carolina,0,0,0,0,0,0,0,0
South Dakota,8.33,8.07,7.91,7.79,7.67,8.98,8.92,8.84
Tennessee,0,0,0,0,0,0,0,0
Texas,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
U.S. Virgin Islands,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Utah,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Vermont,9.26,9.07,9.23,9.24,9.23,9.67,10.02,10.22
Virginia,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Washington,9.82,9.65,9.86,9.88,9.86,10,9.88,11.24
West Virginia,8.33,8.07,7.91,7.79,7.67,8.45,9.13,8.94
Wisconsin,8.33,8.07,7.91,7.79,7.67,7.66,7.56,7.41
Wyoming,5.91,5.73,5.62,5.54,5.45,5.44,5.37,5.26
