Name,Manufacturer,Type,Calories,Fiber,Sugars
100% Bran,Nabisco,Cold,70,10,6
100% Natural Bran,Quaker Oats,Cold,120,2,8
All-Bran,Kelloggs,Cold,70,9,5
All-Bran with Extra Fiber,Kelloggs,Cold,50,14,0
Almond Delight,Ralston Purina,Cold,110,1,8
Apple Cinnamon Cheerios,General Mills,Cold,110,1.5,10
Apple Jacks,Kelloggs,Cold,110,1,14
Basic 4,General Mills,Cold,130,2,8
Bran Chex,Ralston Purina,Cold,90,4,6
Bran Flakes,Post,Cold,90,5,5
Cap'n'Crunch,Quaker Oats,Cold,120,0,12
Cheerios,General Mills,Cold,110,2,1
Cinnamon Toast Crunch,General Mills,Cold,120,0,9
Clusters,General Mills,Cold,110,2,7
Cocoa Puffs,General Mills,Cold,110,0,13
Corn Chex,Ralston Purina,Cold,110,0,3
Corn Flakes,Kelloggs,Cold,100,1,2
Corn Pops,Kelloggs,Cold,110,1,12
Count Chocula,General Mills,Cold,110,0,13
Cracklin' Oat Bran,Kelloggs,Cold,110,4,7
Cream of Wheat (Quick),Nabisco,Hot,100,1,0
Crispix,Kelloggs,Cold,110,1,3
Crispy Wheat & Raisins,General Mills,Cold,100,2,10
Double Chex,Ralston Purina,Cold,100,1,5
Froot Loops,Kelloggs,Cold,110,1,13
Frosted Flakes,Kelloggs,Cold,110,1,11
Frosted Mini-Wheats,Kelloggs,Cold,100,3,7
Fruit & Fibre Dates; Walnuts; and Oats,Post,Cold,120,5,10
Fruitful Bran,Kelloggs,Cold,120,5,12
Fruity Pebbles,Post,Cold,110,0,12
Golden Crisp,Post,Cold,100,0,15
Golden Grahams,General Mills,Cold,110,0,9
Grape Nuts Flakes,Post,Cold,100,3,5
Grape-Nuts,Post,Cold,110,3,3
Great Grains Pecan,Post,Cold,120,3,4
Honey Graham Ohs,Quaker Oats,Cold,120,1,11
Honey Nut Cheerios,General Mills,Cold,110,1.5,10
Honey-comb,Post,Cold,110,0,11
Just Right Crunchy  Nuggets,Kelloggs,Cold,110,1,6
Just Right Fruit & Nut,Kelloggs,Cold,140,2,9
Kix,General Mills,Cold,110,0,3
Life,Quaker Oats,Cold,100,2,6
Lucky Charms,General Mills,Cold,110,0,12
Maypo,American Home Food Products,Hot,100,0,3
Muesli Raisins; Dates; & Almonds,Ralston Purina,Cold,150,3,11
Muesli Raisins; Peaches; & Pecans,Ralston Purina,Cold,150,3,11
Mueslix Crispy Blend,Kelloggs,Cold,160,3,13
Multi-Grain Cheerios,General Mills,Cold,100,2,6
Nut&Honey Crunch,Kelloggs,Cold,120,0,9
Nutri-Grain Almond-Raisin,Kelloggs,Cold,140,3,7
Nutri-grain Wheat,Kelloggs,Cold,90,3,2
Oatmeal Raisin Crisp,General Mills,Cold,130,1.5,10
Post Nat. Raisin Bran,Post,Cold,120,6,14
Product 19,Kelloggs,Cold,100,1,3
Puffed Rice,Quaker Oats,Cold,50,0,0
Puffed Wheat,Quaker Oats,Cold,50,1,0
Quaker Oat Squares,Quaker Oats,Cold,100,2,6
Quaker Oatmeal,Quaker Oats,Hot,100,2.7,-1
Raisin Bran,Kelloggs,Cold,120,5,12
Raisin Nut Bran,General Mills,Cold,100,2.5,8
Raisin Squares,Kelloggs,Cold,90,2,6
Rice Chex,Ralston Purina,Cold,110,0,2
Rice Krispies,Kelloggs,Cold,110,0,3
Shredded Wheat,Nabisco,Cold,80,3,0
Shredded Wheat 'n'Bran,Nabisco,Cold,90,4,0
Shredded Wheat spoon size,Nabisco,Cold,90,3,0
Smacks,Kelloggs,Cold,110,1,15
Special K,Kelloggs,Cold,110,1,3
Strawberry Fruit Wheats,Nabisco,Cold,90,3,5
Total Corn Flakes,General Mills,Cold,110,0,3
Total Raisin Bran,General Mills,Cold,140,4,14
Total Whole Grain,General Mills,Cold,100,3,3
Triples,General Mills,Cold,110,0,3
Trix,General Mills,Cold,110,0,12
Wheat Chex,Ralston Purina,Cold,100,3,3
Wheaties,General Mills,Cold,100,3,3
Wheaties Honey Gold,General Mills,Cold,110,1,8
