Date,Close
2004-08-19,49.98
2004-08-20,53.95
2004-08-23,54.5
2004-08-24,52.24
2004-08-25,52.8
2004-08-26,53.75
2004-08-27,52.88
2004-08-30,50.81
2004-08-31,50.99
2004-09-01,49.94
2004-09-02,50.57
2004-09-03,49.82
2004-09-07,50.6
2004-09-08,50.96
2004-09-09,50.96
2004-09-10,52.47
2004-09-13,53.55
2004-09-14,55.54
2004-09-15,55.79
2004-09-16,56.77
2004-09-17,58.53
2004-09-20,59.46
2004-09-21,58.7
2004-09-22,58.97
2004-09-23,60.18
2004-09-24,59.69
2004-09-27,58.91
2004-09-28,63.19
2004-09-29,65.3
2004-09-30,64.56
2004-10-01,66.04
2004-10-04,67.28
2004-10-05,68.93
2004-10-06,68.28
2004-10-07,69.17
2004-10-08,68.61
2004-10-11,67.38
2004-10-12,68.44
2004-10-13,70.19
2004-10-14,70.73
2004-10-15,71.79
2004-10-18,74.3
2004-10-19,73.69
2004-10-20,69.98
2004-10-21,74.41
2004-10-22,85.89
2004-10-25,93.35
2004-10-26,90.56
2004-10-27,92.64
2004-10-28,96.29
2004-10-29,94.96
2004-11-01,97.65
2004-11-02,97.07
2004-11-03,95.48
2004-11-04,92.01
2004-11-05,84.36
2004-11-08,85.95
2004-11-09,84.04
2004-11-10,83.62
2004-11-11,91.17
2004-11-12,90.66
2004-11-15,92.09
2004-11-16,85.95
2004-11-17,85.93
2004-11-18,83.46
2004-11-19,84.38
2004-11-22,82.24
2004-11-23,83.45
2004-11-24,87.05
2004-11-26,89.36
2004-11-29,90.19
2004-11-30,90.65
2004-12-01,89.64
2004-12-02,89.37
2004-12-03,89.86
2004-12-06,87.82
2004-12-07,85.39
2004-12-08,84.67
2004-12-09,86.39
2004-12-10,85.5
2004-12-13,84.91
2004-12-14,89.01
2004-12-15,89.55
2004-12-16,87.91
2004-12-17,89.7
2004-12-20,92.16
2004-12-21,91.53
2004-12-22,92.8
2004-12-23,93.6
2004-12-27,95.6
2004-12-28,96.02
2004-12-29,96.09
2004-12-30,98.43
2004-12-31,96.04
2005-01-03,100.98
2005-01-04,96.89
2005-01-05,96.39
2005-01-06,93.92
2005-01-07,96.56
2005-01-10,97.17
2005-01-11,96.41
2005-01-12,97.33
2005-01-13,97.3
2005-01-14,99.61
2005-01-18,101.57
2005-01-19,98.28
2005-01-20,96.6
2005-01-21,93.79
2005-01-24,90.02
2005-01-25,88.23
2005-01-26,94.27
2005-01-27,93.69
2005-01-28,94.81
2005-01-31,97.44
2005-02-01,95.59
2005-02-02,102.6
2005-02-03,105.04
2005-02-04,101.8
2005-02-07,97.65
2005-02-08,98.95
2005-02-09,95.43
2005-02-10,93.64
2005-02-11,93.35
2005-02-14,96.13
2005-02-15,97.25
2005-02-16,98.83
2005-02-17,98.58
2005-02-18,98.61
2005-02-22,95.33
2005-02-23,96.61
2005-02-24,94.09
2005-02-25,92.59
2005-02-28,93.64
2005-03-01,92.68
2005-03-02,92.24
2005-03-03,93.16
2005-03-04,92.6
2005-03-07,94.05
2005-03-08,92.25
2005-03-09,90.34
2005-03-10,89.65
2005-03-11,88.57
2005-03-14,87.17
2005-03-15,88.97
2005-03-16,87.47
2005-03-17,89.31
2005-03-18,89.68
2005-03-21,90.1
2005-03-22,88.97
2005-03-23,89.16
2005-03-24,89.29
2005-03-28,90.37
2005-03-29,89.45
2005-03-30,89.89
2005-03-31,89.92
2005-04-01,89.68
2005-04-04,92.3
2005-04-05,93.93
2005-04-06,94.26
2005-04-07,96.52
2005-04-08,95.67
2005-04-11,96.25
2005-04-12,96.62
2005-04-13,96.1
2005-04-14,95.37
2005-04-15,92.15
2005-04-18,93.14
2005-04-19,95.34
2005-04-20,98.68
2005-04-21,101.73
2005-04-22,107.5
2005-04-25,111.35
2005-04-26,108.97
2005-04-27,109.48
2005-04-28,109.32
2005-04-29,109.59
2005-05-02,110.73
2005-05-03,112.67
2005-05-04,113.82
2005-05-05,113.07
2005-05-06,113.58
2005-05-09,112.59
2005-05-10,113.47
2005-05-11,115.21
2005-05-12,113.93
2005-05-13,114.19
2005-05-16,115.09
