,,,Culture,Culture,Services,Services
,,,Restaurants,Museums,Police,Schools
State,City,Street,,,,
MO,Fisherborough,244 Tracy View,C+,F,D-,A+
SD,Port Curtisville,446 Cynthia Inlet,C-,B,B,D+
WV,Jimenezview,432 John Common,A,A+,F,B
AK,Stevenshire,238 Andrew Rue,D-,A,A-,A-
ND,New Joshuaport,877 Walter Neck,D+,C-,B,B
ID,Wellsville,696 Weber Stravenue,A,B+,C,C-
TN,Jodiburgh,285 Justin Corners,A,B,B+,B+
DC,Lake Christopher,607 Montoya Harbors,D,B+,B-,A+
OH,Port Mike,041 Michael Neck,D+,F,B-,D
ND,Hardyburgh,550 Gilmore Mountains,A-,B-,B-,B-
NY,Chadburgh,857 Michelle Shoal,B+,C-,D+,C-
OK,Lake Larryburgh,307 Stephens Path,B+,C,D-,A-
OK,West Misty,221 Frederick Plaza,A,A-,C,B+
DE,Port Michael,800 Christopher Haven,D,A+,A,C-
UT,North Davidberg,377 Foster View,B-,A-,D+,F
SC,East Brittany,281 Austin Crossing,F,A-,B,A+
WV,Ryanfort,987 Derek Fall,A,C+,C-,C-
NV,Wilsonshire,542 Jessica Stream,A,A+,C-,C+
VA,East Lisaview,519 Hill Plaza,A+,D+,C-,C+
RI,West Danielside,557 Edwards Estates,C-,A-,A,D
NY,Lake Timothy,398 Erika Lake,C+,B-,B,B
ID,Patricktown,215 Kathleen Flat,D-,C-,B-,C
MD,West Miguelstad,751 Walker Meadows,F,D-,B,D
TX,Leeberg,693 Avila Pines,C+,F,A+,D+
HI,Timothystad,393 Jasmine Hollow,C+,A-,F,C+
UT,North Kennethmouth,208 Regina Roads,D-,A+,A+,B
MD,Richardland,695 Amy Ports,D+,C+,D+,D
ND,Davidshire,035 Trevor Squares,C,D,C,D+
FL,Jacksonfort,369 Victoria Road,D-,D+,A,D
NM,West Ambermouth,785 Kristen Vista,D-,D-,D+,A+
DE,New Janice,417 Simmons Spur,A,A,F,C-
NY,Port Elizabeth,804 Stephanie Summit,C,D-,A-,B-
WY,Lake Nicole,933 Jennifer Burg,C,A+,A-,C
NC,Stephanieport,283 Morales Locks,D+,D,D-,C+
MO,East Connie,798 Joseph Orchard,B,D,A+,D+
KS,Port Lindaberg,008 Mitchell Highway,F,D+,C+,B
NM,Trevorville,665 Cooley Shore,C+,B+,D+,B-
NV,Vargasberg,113 Gordon Ridges,A,C-,F,B+
OH,Johnsonside,817 Johnson Street,D-,A-,A+,B-
PA,Rowlandchester,502 Taylor Inlet,A+,C-,D+,A
AR,Simmonsfurt,154 Alexander Track,C-,B+,B,A-
RI,New Jenniferton,404 Crystal Crest,A,C+,B-,A+
NE,South Nathan,821 Jake Fork,C+,D,D+,A
CA,Dustinmouth,793 Cynthia Square,A-,A+,C-,A
OR,Lake Nicole,650 Angela Track,D,C-,D,F
