Brand,Flavor,Description
Ben and Jerry's,Salted Caramel Core,Sweet Cream Ice Cream with Blonde Brownies & a Salted Caramel Core
Ben and Jerry's,Netflix & Chilll'd™,Peanut Butter Ice Cream with Sweet & Salty Pretzel Swirls & Fudge Brownies
Ben and Jerry's,Chip Happens,A Cold Mess of Chocolate Ice Cream with Fudge Chips & Crunchy Potato Chip Swirls
Ben and Jerry's,Cannoli,Mascarpone Ice Cream with Fudge-Covered Pastry Shell Pieces & Mascarpone Swirls
Ben and Jerry's,Gimme S’more!™,"Toasted Marshmallow Ice Cream with Chocolate Cookie Swirls, Graham Cracker Swirls & Fudge Flakes"
Ben and Jerry's,Peanut Butter Half Baked®,Chocolate & Peanut Butter Ice Creams Mixed with Gobs of Peanut Butter Cookie Dough & Fudge Brownies
Ben and Jerry's,Berry Sweet Mascarpone,Blackberry & Mascarpone Ice Creams with Shortbread Cookies & Fudge-Covered Almonds
Ben and Jerry's,Chocolate Peanut Butter Split,Chocolate & Banana Ice Creams with Mini Peanut Butter Cups
Ben and Jerry's,Justice ReMix'd ™,Cinnamon & Chocolate Ice Creams with Gobs of Cinnamon Bun Dough & Spicy Fudge Brownies
Ben and Jerry's,Boots on the Moooo’n™,A Universe of Milk Chocolate Ice Cream with Fudge Cows & Toffee Meteor Clusters Orbiting a Sugar Cookie Dough Core
Ben and Jerry's,Americone Dream®,Vanilla Ice Cream with Fudge-Covered Waffle Cone Pieces & a Caramel Swirl
Ben and Jerry's,Bourbon Pecan Pie,"Buttery Bourbon Ice Cream with Pecans, Shortbread Cookie Pieces & a Whiskey Caramel Swirl"
Ben and Jerry's,Brewed to Matter™,Coffee Ice Cream with Fudge Chunks & a Brownie Batter Swirl
Ben and Jerry's,Caramel Chocolate Cheesecake,Caramel Cheesecake Ice Cream with Cheesecake Pieces & Chocolate Cookie Swirls
Ben and Jerry's,Cherry Garcia®,Cherry Ice Cream with Cherries & Fudge Flakes
Ben and Jerry's,Chillin' the Roast™,Cold Brew Coffee Ice Cream with Chocolate Cookie-Covered Coffee Liqueur Truffles & Fudge Swirls
Ben and Jerry's,Chocolate Chip Cookie Dough,Vanilla Ice Cream with Gobs of Chocolate Chip Cookie Dough
Ben and Jerry's,Chocolate Fudge Brownie,Chocolate Ice Cream with Fudge Brownies
Ben and Jerry's,Chocolate Shake It™,Chocolate Malt Milkshake Ice Cream With Salted Fudge Pieces & Marshmallow Swirls
