Name,NA,EU,JP,Other
Wii Sports,41.49,29.02,3.77,8.46
Super Mario Bros.,29.08,3.58,6.81,0.77
Mario Kart Wii,15.85,12.88,3.79,3.31
Wii Sports Resort,15.75,11.01,3.28,2.96
Pokemon Red/Pokemon Blue,11.27,8.89,10.22,1
Tetris,23.2,2.26,4.22,0.58
New Super Mario Bros.,11.38,9.23,6.5,2.9
Wii Play,14.03,9.2,2.93,2.85
New Super Mario Bros. Wii,14.59,7.06,4.7,2.26
Duck Hunt,26.93,0.63,0.28,0.47
Nintendogs,9.07,11,1.93,2.75
Mario Kart DS,9.81,7.57,4.13,1.92
Pokemon Gold/Pokemon Silver,9,6.18,7.2,0.71
Wii Fit,8.94,8.03,3.6,2.15
Wii Fit Plus,9.09,8.59,2.53,1.79
Kinect Adventures!,14.97,4.94,0.24,1.67
Grand Theft Auto V,7.01,9.27,0.97,4.14
Grand Theft Auto: San Andreas,9.43,0.4,0.41,10.57
Super Mario World,12.78,3.75,3.54,0.55
Brain Age: Train Your Brain in Minutes a Day,4.75,9.26,4.16,2.05
Pokemon Diamond/Pokemon Pearl,6.42,4.52,6.04,1.37
Super Mario Land,10.83,2.71,4.18,0.42
Super Mario Bros. 3,9.54,3.44,3.84,0.46
Grand Theft Auto V,9.63,5.31,0.06,1.38
Grand Theft Auto: Vice City,8.41,5.49,0.47,1.78
Pokemon Ruby/Pokemon Sapphire,6.06,3.9,5.38,0.5
Pokemon Black/Pokemon White,5.57,3.28,5.65,0.82
Brain Age 2: More Training in Minutes a Day,3.44,5.36,5.32,1.18
Gran Turismo 3: A-Spec,6.85,5.09,1.87,1.16
Call of Duty: Modern Warfare 3,9.03,4.28,0.13,1.32
Pokémon Yellow: Special Pikachu Edition,5.89,5.04,3.12,0.59
Call of Duty: Black Ops,9.67,3.73,0.11,1.13
Pokemon X/Pokemon Y,5.17,4.05,4.34,0.79
Call of Duty: Black Ops 3,5.77,5.81,0.35,2.31
Call of Duty: Black Ops II,4.99,5.88,0.65,2.52
Call of Duty: Black Ops II,8.25,4.3,0.07,1.12
Call of Duty: Modern Warfare 2,8.52,3.63,0.08,1.29
Call of Duty: Modern Warfare 3,5.54,5.82,0.49,1.62
Grand Theft Auto III,6.99,4.51,0.3,1.3
Super Smash Bros. Brawl,6.75,2.61,2.66,1.02
Call of Duty: Black Ops,5.98,4.44,0.48,1.83
Animal Crossing: Wild World,2.55,3.52,5.33,0.88
Mario Kart 7,4.74,3.91,2.67,0.89
Halo 3,7.97,2.83,0.13,1.21
Grand Theft Auto V,3.8,5.81,0.36,2.02
Pokemon HeartGold/Pokemon SoulSilver,4.4,2.77,3.96,0.77
Super Mario 64,6.91,2.85,1.91,0.23
Gran Turismo 4,3.01,0.01,1.1,7.53
Super Mario Galaxy,6.16,3.4,1.2,0.76
Pokemon Omega Ruby/Pokemon Alpha Sapphire,4.23,3.37,3.08,0.65
Super Mario Land 2: 6 Golden Coins,6.16,2.04,2.69,0.29
Grand Theft Auto IV,6.76,3.1,0.14,1.03
Gran Turismo,4.02,3.87,2.54,0.52
Super Mario 3D Land,4.89,2.99,2.13,0.78
Gran Turismo 5,2.96,4.88,0.81,2.12
Call of Duty: Modern Warfare 2,4.99,3.69,0.38,1.63
Grand Theft Auto IV,4.76,3.76,0.44,1.62
Super Mario All-Stars,5.99,2.15,2.12,0.29
Pokemon FireRed/Pokemon LeafGreen,4.34,2.65,3.15,0.35
Super Mario 64,5.08,3.11,1.25,0.98
Just Dance 3,6.05,3.15,0,1.07
Call of Duty: Ghosts,6.72,2.63,0.04,0.82
Halo: Reach,7.03,1.98,0.08,0.78
Mario Kart 64,5.55,1.94,2.23,0.15
New Super Mario Bros. 2,3.66,3.07,2.47,0.63
Halo 4,6.63,2.36,0.04,0.73
Final Fantasy VII,3.01,2.47,3.28,0.96
Call of Duty: Ghosts,4.09,3.73,0.38,1.38
Just Dance 2,5.84,2.89,0.01,0.78
Gran Turismo 2,3.88,3.42,1.69,0.5
Call of Duty 4: Modern Warfare,5.91,2.38,0.13,0.9
Donkey Kong Country,4.36,1.71,3,0.23
Minecraft,5.58,2.83,0.02,0.77
Animal Crossing: New Leaf,2.01,2.32,4.36,0.41
Mario Party DS,4.46,1.88,1.98,0.7
The Elder Scrolls V: Skyrim,5.03,2.86,0.1,0.85
Super Mario Kart,3.54,1.24,3.81,0.18
FIFA 16,1.11,6.06,0.06,1.26
Wii Party,1.79,3.53,2.49,0.68
Halo 2,6.82,1.53,0.05,0.08
Mario Party 8,3.81,2.3,1.58,0.73
Pokemon Black 2/Pokemon White 2,2.91,1.86,3.14,0.43
FIFA Soccer 13,1.06,5.05,0.13,2.01
The Sims 3,0.98,6.42,0,0.71
GoldenEye 007,5.8,2.01,0.13,0.15
Mario & Sonic at the Olympic Games,2.58,3.9,0.66,0.91
Final Fantasy X,2.91,2.07,2.73,0.33
Final Fantasy VIII,2.28,1.72,3.63,0.23
Pokémon Platinum Version,2.82,1.78,2.69,0.55
Pac-Man,7.28,0.45,0,0.08
Grand Theft Auto: Liberty City Stories,2.9,2.83,0.24,1.75
Super Mario Galaxy 2,3.66,2.42,0.98,0.64
Star Wars Battlefront (2015),2.93,3.29,0.22,1.23
Call of Duty: Advanced Warfare,2.8,3.3,0.14,1.37
The Legend of Zelda: Ocarina of Time,4.1,1.89,1.45,0.16
Crash Bandicoot 2: Cortex Strikes Back,3.78,2.17,1.31,0.31
Super Mario Bros. 2,5.39,1.18,0.7,0.19
Super Smash Bros. for Wii U and 3DS,3.24,1.35,2.42,0.43
Call of Duty: World at War,4.79,1.9,0,0.69
Battlefield 3,4.46,2.13,0.06,0.69
The Legend of Zelda: Twilight Princess,3.83,2.19,0.6,0.7
Call of Duty: Black Ops 3,4.52,2.09,0.01,0.67
Just Dance,3.51,3.03,0,0.73
Battlefield 3,2.85,2.93,0.35,1.1
Need for Speed Underground,3.27,2.83,0.08,1.02
Tekken 3,3.27,2.22,1.4,0.29
Crash Bandicoot 3: Warped,3.68,1.75,1.42,0.28
Super Smash Bros. Melee,4.41,1.04,1.39,0.22
Mario Kart 8,3.13,2.07,1.27,0.49
Fallout 4,2.47,3.15,0.24,1.1
Mario Kart: Double Dash!!,4.12,1.77,0.87,0.19
Just Dance 4,4.14,2.21,0,0.56
FIFA 14,0.78,4.32,0.07,1.73
Need for Speed Underground 2,2.71,3.02,0.08,1.09
Medal of Honor: Frontline,2.93,2.75,0.17,0.99
Uncharted 3: Drake's Deception,2.77,2.8,0.19,1.06
Crash Bandicoot,3.23,2.35,0.94,0.3
Zumba Fitness,3.5,2.64,0,0.67
Gears of War 2,4.15,1.92,0.06,0.64
Uncharted 2: Among Thieves,3.27,2.25,0.21,1
Call of Duty 4: Modern Warfare,3.1,2.3,0.28,1.04
FIFA 12,0.84,4.32,0.11,1.42
Big Brain Academy,1.67,2.78,1.6,0.62
Red Dead Redemption,2.79,2.61,0.17,1.03
FIFA 15,0.79,4.29,0.05,1.47
Donkey Kong Country Returns,3.25,1.84,1.03,0.47
The Elder Scrolls V: Skyrim,2.55,2.71,0.25,1.05
The Legend of Zelda,3.74,0.93,1.69,0.14
Assassin's Creed III,2.64,2.56,0.16,1.14
Halo: Combat Evolved,4.98,1.3,0.08,0.07
Pokémon Emerald Version,2.57,1.58,2.06,0.21
Kingdom Hearts,3.64,1.2,1.49,0.07
Pokémon Crystal Version,2.55,1.56,1.29,0.99
Halo 3: ODST,4.34,1.35,0.06,0.61
Red Dead Redemption,3.7,1.97,0.09,0.57
Super Mario Sunshine,4.01,1.26,0.87,0.17
Street Fighter II: The World Warrior,2.47,0.83,2.87,0.12
World of Warcraft,0.07,6.21,0,0
Driver,3.11,2.8,0.02,0.33
Kinect Sports,3.92,1.78,0.03,0.51
Gears of War 3,4.05,1.62,0.07,0.49
Gears of War,3.54,1.9,0.07,0.6
Metal Gear Solid 2: Sons of Liberty,2.45,2.01,0.87,0.72
Sonic the Hedgehog 2,4.47,1.2,0.16,0.19
Metal Gear Solid 4: Guns of the Patriots,2.63,1.74,0.83,0.83
Metal Gear Solid,3.18,1.83,0.78,0.24
The Last of Us,2.41,2.28,0.28,1.01
Final Fantasy XII,1.88,0,2.33,1.74
LittleBigPlanet,2.8,2.05,0.17,0.9
Dragon Quest IX: Sentinels of the Starry Skies,0.66,0.69,4.35,0.15
LEGO Star Wars: The Complete Saga,3.66,1.63,0,0.53
Resident Evil 2,1.88,1.47,2.02,0.45
Tekken 2,2.26,1.89,1.36,0.23
Cooking Mama,3.13,1.94,0.07,0.58
Destiny,2.49,2.05,0.16,0.96
Tetris,2.97,0.69,1.81,0.11
Assassin's Creed II,2.54,1.95,0.21,0.87
Super Smash Bros.,2.95,0.6,1.97,0.04
Assassin's Creed,3.28,1.65,0.07,0.55
Batman: Arkham City,2.7,1.91,0.11,0.8
Forza Motorsport 3,2.99,1.92,0.1,0.51
Monster Hunter Freedom Unite,0.47,0.57,4.13,0.34
Super Mario Advance,3.14,1.24,0.91,0.2
Mario Kart: Super Circuit,2.62,1.64,0.99,0.23
Super Mario World,3.21,1.11,0.95,0.2
Pokemon Stadium,3.18,1.24,0.94,0.09
Call of Duty: World at War,2.72,1.87,0,0.84
Crash Bandicoot: The Wrath of Cortex,2.07,2.29,0.24,0.82
Minecraft,1.97,2.51,0,0.94
Final Fantasy XIII,1.74,1.24,1.87,0.52
Dr. Mario,2.18,0.96,2,0.2
Pokemon Pinball,3.02,1.12,1.01,0.16
Assassin's Creed III,3.13,1.71,0.03,0.44
Final Fantasy IX,1.62,0.77,2.78,0.14
Final Fantasy X-2,1.92,1.08,2.11,0.17
Donkey Kong 64,3.33,0.79,1.09,0.06
Assassin's Creed II,3.1,1.56,0.08,0.51
Professor Layton and the Curious Village,1.22,2.48,1.03,0.52
Tomb Raider II,2.3,2.46,0.2,0.28
Madden NFL 2004,4.26,0.26,0.01,0.71
Dragon Quest VIII: Journey of the Cursed King,0.65,0.75,3.61,0.2
Diablo III,2.43,2.15,0,0.62
Super Mario Bros. 3,2.93,1.25,0.83,0.2
New Super Mario Bros. U,2.32,1.3,1.27,0.31
Super Mario Land 3: Wario Land,2.49,0.98,1.57,0.15
FIFA Soccer 13,1.08,3.48,0.03,0.58
The Legend of Zelda: Phantom Hourglass,1.9,1.83,0.95,0.49
Donkey Kong Country 2: Diddy's Kong Quest,2.1,0.74,2.2,0.11
Tomodachi Life,0.96,2.02,1.89,0.28
Mario & Sonic at the Olympic Games,1.64,2.48,0.44,0.58
Medal of Honor: Rising Sun,1.98,2.23,0.13,0.8
Kirby's Dream Land,2.71,0.61,1.7,0.11
Fable III,3.59,1.11,0.05,0.38
Call of Duty: Advanced Warfare,3.21,1.53,0.01,0.38
Microsoft Flight Simulator,3.22,1.69,0,0.2
Guitar Hero II,3.81,0.63,0,0.68
Resident Evil 5,1.96,1.43,1.08,0.65
Grand Theft Auto V,2.66,2.01,0,0.41
Grand Theft Auto: Vice City Stories,1.7,2.02,0.16,1.21
FIFA Soccer 11,0.6,3.29,0.06,1.13
Super Mario Bros.,3.4,1.3,0.15,0.22
Resident Evil,2.05,1.16,1.11,0.73
Tony Hawk's Pro Skater,3.42,1.38,0.02,0.2
Super Smash Bros. for Wii U and 3DS,2.59,1.06,0.8,0.57
Warzone 2100,2.79,1.89,0,0.33
Spyro the Dragon,3.36,1.36,0.07,0.21
Link's Crossbow Training,3.06,1.18,0.29,0.46
Guitar Hero III: Legends of Rock,3.49,0.01,0.01,1.48
Fallout 3,3.39,1.03,0.09,0.44
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,1.85,1.2,1.54,0.37
Uncharted: Drake's Fortune,2.31,1.73,0.12,0.78
Madden NFL 06,3.98,0.26,0.01,0.66
LEGO Star Wars: The Complete Saga,2.89,1.54,0,0.46
Diddy Kong Racing,2.91,0.99,0.89,0.1
Monster Hunter Freedom 3,0,0,4.87,0
Dr. Mario,2.62,0.6,1.52,0.1
God of War III,2.74,1.36,0.12,0.63
StarCraft II: Wings of Liberty,2.56,1.68,0,0.59
Assassin's Creed,1.91,2,0.09,0.83
FIFA 15,0.57,3.14,0.04,1.07
Crash Team Racing,2.57,1.57,0.44,0.21
FIFA 17,0.28,3.75,0.06,0.69
Batman: Arkham City,2.99,1.31,0.04,0.41
Driver 2,2.36,2.1,0.02,0.25
The Simpsons: Hit & Run,1.73,2.19,0,0.79
Tony Hawk's Pro Skater 2,3.05,1.41,0.02,0.2
Animal Crossing: City Folk,1.87,1.12,1.32,0.37
The Lord of the Rings: The Two Towers,1.94,1.95,0.08,0.7
Forza Motorsport 4,2.08,2.04,0.06,0.47
Tomb Raider,2.29,1.97,0.13,0.24
Guitar Hero III: Legends of Rock,3.06,1.12,0,0.44
The Legend of Zelda: A Link to the Past,2.42,0.91,1.15,0.13
The Legend of Zelda: The Wind Waker,2.6,0.99,0.89,0.13
Mario & Sonic at the Olympic Winter Games,1.89,1.99,0.22,0.48
Luigi's Mansion: Dark Moon,1.78,1.39,1.1,0.3
Splatoon,1.55,1.15,1.44,0.43
The Last of Us,1.78,1.87,0.07,0.82
Guitar Hero III: Legends of Rock,3.19,0.92,0.01,0.42
Madden NFL 2005,4.18,0.26,0.01,0.08
Pitfall!,4.21,0.24,0,0.05
Madden NFL 07,3.63,0.24,0.01,0.61
Spider-Man: The Movie,2.71,1.51,0.03,0.23
Dragon Quest VII: Warriors of Eden,0.2,0.14,4.1,0.02
Uncharted: The Nathan Drake Collection,1.96,1.69,0.08,0.74
Call of Duty: Advanced Warfare,1.54,1.94,0.19,0.77
God of War,2.71,1.29,0.02,0.43
Nintendo Land,2.55,1.11,0.46,0.33
Michael Jackson: The Experience,2.67,1.35,0.01,0.39
Tony Hawk's Pro Skater 3,2.66,1.29,0.01,0.46
Winning Eleven: Pro Evolution Soccer 2007,0.1,2.39,1.05,0.86
The Elder Scrolls IV: Oblivion,2.82,1.05,0.13,0.4
Zelda II: The Adventure of Link,2.19,0.5,1.61,0.08
Need for Speed: Most Wanted,2.03,1.79,0.08,0.47
Resistance: Fall of Man,1.73,1.73,0.14,0.75
Sonic the Hedgehog,3.03,0.91,0.26,0.13
Kingdom Hearts II,2.2,0.58,1.38,0.17
FIFA 14,0.92,2.93,0.01,0.46
Call of Duty: Advanced Warfare,2.75,1.18,0,0.37
Asteroids,4,0.26,0,0.05
Fable II,2.51,1.27,0.11,0.41
Halo 5: Guardians,2.64,1.2,0.03,0.39
Super Mario 3D World,2.11,1.11,0.72,0.3
Batman: Arkham Asylum,2.23,1.34,0.07,0.61
Assassin's Creed: Revelations,1.41,2.02,0.1,0.72
Namco Museum,3,1.11,0.05,0.07
Metal Gear Solid 3: Snake Eater,1.46,0,0.83,1.93
Daxter,2.45,1.02,0,0.75
Warcraft II: Tides of Darkness,1.7,2.27,0,0.23
The Legend of Zelda: Ocarina of Time,2.03,1.27,0.62,0.3
FIFA Soccer 06,0.78,2.55,0.04,0.84
EyeToy Play,0.88,2.3,0.2,0.83
Uncharted 4: A Thief's End,1.3,2.07,0.18,0.65
Gran Turismo 5 Prologue,1.28,1.83,0.57,0.53
Assassin's Creed: Revelations,2.25,1.47,0.04,0.43
Street Fighter IV,2.02,1.06,0.58,0.53
FIFA 12,0.84,2.79,0.02,0.53
Teenage Mutant Ninja Turtles,3.38,0.44,0.31,0.04
Excitebike,2.04,0.48,1.57,0.07
Frogger,3.79,0.27,0,0.11
Madden NFL 2003,3.36,0.21,0.01,0.56
Watch Dogs,1.4,1.86,0.11,0.77
Half-Life,4.03,0,0.09,0
Super Mario World 2: Yoshi's Island,1.65,0.61,1.76,0.09
FIFA Soccer 07,0.71,2.48,0.03,0.89
The Legend of Zelda: Skyward Sword,2.14,1.2,0.37,0.4
Street Fighter II Turbo,1.42,0.51,2.1,0.07
Carnival Games,2.13,1.5,0.05,0.42
Fallout 4,2.45,1.26,0.01,0.37
World of Warcraft: The Burning Crusade,2.57,1.52,0,0
Fallout: New Vegas,2.65,1.06,0.04,0.33
God of War II,2.32,0.04,0.04,1.67
Forza Motorsport 2,2.35,1.28,0.03,0.41
World Soccer Winning Eleven 9,0.12,2.26,0.9,0.77
Namco Museum Vol.3,2.28,1.55,0.16,0.06
Tekken Tag Tournament,1.68,1.51,0.51,0.35
Far Cry 4,1.12,2.12,0.1,0.69
Star Fox 64,2.78,0.58,0.64,0.04
Minecraft,1.38,1.87,0.12,0.65
Golf,1.22,0.28,2.46,0.04
Fallout 3,2.15,1.2,0.07,0.59
Professor Layton and the Diabolical Box,0.92,1.78,0.92,0.37
Left 4 Dead 2,2.67,0.89,0.05,0.37
Namco Museum: 50th Anniversary,2.08,1.35,0,0.54
EA Sports Active,2.1,1.36,0.06,0.4
Assassin's Creed: Unity,1.18,1.96,0.08,0.7
Donkey Kong Land,1.97,0.76,1.07,0.11
Tony Hawk's Underground,2.29,1.17,0.01,0.42
Assassin's Creed IV: Black Flag,1.33,1.71,0.13,0.73
Monster Hunter 4 Ultimate,0.67,0.49,2.62,0.11
MotorStorm,1.53,1.61,0.06,0.67
The Elder Scrolls V: Skyrim,1.15,2.09,0,0.64
Tekken 5,0.93,1.94,0.31,0.7
Dragon Warrior III,0.1,0,3.77,0
Sports Champions,2.12,1.14,0.1,0.51
NBA 2K16,2.48,0.65,0.03,0.69
World Soccer Winning Eleven 8 International,0.16,1.89,1.12,0.68
Flash Focus: Vision Training in Minutes a Day,0.87,1.57,1.05,0.35
Namco Museum Vol.1,2.12,1.44,0.22,0.06
The Legend of Zelda: Link's Awakening,2.21,0.96,0.54,0.13
Mario & Luigi: Bowser's Inside Story,2.26,0.48,0.81,0.27
Big Brain Academy: Wii Degree,1.06,1.93,0.41,0.43
Nintendogs + cats,1.44,1.37,0.73,0.27
Batman: Arkham Knight,1.49,1.58,0.1,0.61
Mario & Sonic at the London 2012 Olympic Games,1.14,1.91,0.27,0.46
LEGO Indiana Jones: The Original Adventures,2.4,1.03,0,0.36
Resident Evil Director's Cut,1.82,1.24,0.47,0.25
Ratchet & Clank: Size Matters,1.4,1.4,0.1,0.87
Just Dance 2014,1.98,1.47,0,0.32
The Sims: Unleashed,2.03,1.56,0,0.17
Super Paper Mario,1.98,0.88,0.59,0.32
Harry Potter and the Sorcerer's Stone,1.37,2,0.14,0.22
The Witcher 3: Wild Hunt,0.96,2,0.21,0.56
Resident Evil 3: Nemesis,1.3,0.77,1.54,0.11
Spyro: Year of the Dragon,1.93,1.58,0,0.19
FIFA Soccer 2005,0.58,2.48,0.04,0.59
Pokémon Trading Card Game,1.49,0.73,1.38,0.1
Battlefield 4,1.3,1.51,0.27,0.61
MySims,1.59,1.61,0.08,0.41
Friend Collection,0,0,3.67,0
Tony Hawk's Pro Skater 4,2.13,1.18,0.01,0.35
Midnight Club 3: DUB Edition,1.65,1.22,0,0.79
Banjo-Kazooie,1.87,1.13,0.55,0.1
SOCOM: U.S. Navy SEALs,2.53,0.81,0.06,0.24
Guitar Hero: World Tour,2.33,0.97,0,0.35
Gran Turismo 6,0.71,1.8,0.4,0.74
Jak and Daxter: The Precursor Legacy,2.08,1.09,0.15,0.33
Pokemon Snap,2.23,0.68,0.66,0.06
FIFA Soccer 10,0.6,2.46,0.05,0.52
Pro Evolution Soccer 2008,0.05,0,0.64,2.93
