category_id,category_name
1,Arts & Culture
3,Cars & Motorcycles
4,Community & Environment
5,Dancing
6,Education & Learning
9,Fitness
10,Food & Drink
11,Games
14,Health & Wellbeing
15,Hobbies & Crafts
16,Language & Ethnic Identity
17,Lifestyle
18,Book Clubs
20,Movies & Film
21,Music
22,New Age & Spirituality
23,Outdoors & Adventure
24,Paranormal
25,Parents & Family
27,Photography
28,Religion & Beliefs
29,Sci-Fi & Fantasy
30,Singles
32,Sports & Recreation
33,Support
36,Writing
37,Miscellaneous
