group_id,group_name,category_id,city_id,organizer_id
6388,Alternative Health NYC,14,10001,1513133
6510,Alternative Energy Meetup,4,10001,3955940
8458,NYC Animal Rights,26,10001,1809940
8940,The New York City Anime Group,29,10001,2548151
10104,NYC Pit Bull Group,26,10001,1929168
10359,NYC International Arabic Language & Culture Club,16,10001,1766230
12111,The New York City American Sign Language Meetup Group,16,10001,1208717
12542,The New York City Astrology Meetup,22,10001,93086
12907,New York City Atheists Meetings,28,10001,187628
14573,The New York City Ayn Rand Group,13,10001,696532
15217,The New York City Backgammon Meetup Group,31,10001,2911816
15324,The Chicago Backpackers Meetup Group,23,60601,10175045
16620,New York City Basenji Meetup,26,10001,13231563
17183,The NYC Big Beautiful Fun People Meetup Group,31,10001,999921
17921,The Beagle Pack!,26,10001,5365038
18843,NYC Bellydance Meetup!,5,10001,5429250
20517,The NYC Bipolar Meetup Group,33,10001,10550279
22211,Chicago Game Lovers,11,60601,9470872
22253,New York City Boardgames & Cardgames Group,11,10001,1677076
23713,The NYC Bookcrossing Meetup,18,10001,3198499
24765,The Chicago Boston Terrier Meetup Group,26,60601,3640389
25709,"Socialize, Network, and Connect",16,60601,223406285
25727,Brazilians and Brazilian Culture in NYC Meetup,16,10001,4812770
26154,The Chicago Freethinkers Meetup Group,28,60601,12130423
26217,The New York City Brights,28,10001,2180843
26415,Big Apple Brits/New York City British Expat Meetup Group,32,10001,2205371
26434,The San Francisco Bay Area British and Irish Social Club,16,94101,190366273
29051,The Chicago Expat Canadian Meetup Group,16,60601,2416374
29074,The New York City Expat Canadian Meetup Group,31,10001,2922796
30077,The New York City Casino Gambling Meetup Group,31,10001,915553
30873,New York City Celiac Disease Meetup,10,10001,8578798
32509,The New York City Chihuahua Nation Meetup Group,26,10001,336739
33104,Chicago Chinese Culture,16,60601,7616575
33154,NYC Original Chinese Language & Networking Meetup,16,10001,3805522
33172,Bay Area Chinese Language Group ,16,94101,93184502
36610,NYC Tea & Coffee Lovers,10,10001,114740
37146,The Chicago Comic Book Meetup Group,29,60601,1910230
37855,The New York City-STATE-INTL Consultant Meetup Group,2,10001,152762
37994,NYC Dining + Cooking,10,10001,69788572
41503,The New York City Czech and Slovak Meetup Group,16,10001,8589184
41708,The New York City Dachshund Meetup Group,26,10001,7033608
44819,Chicago Anxiety Depression Trauma (CADT),33,60601,14476936
45494,The New York City Digital Photography Meetup Group,27,10001,2462184
45720,Chicago Dining Out Meetup (CDO),31,60601,1828946
45748,"Food, Beer, Spirits, and Wine Tasting NYC Events and more!",31,10001,20982511
45848,The Super Cool Dio 2016 Meetup Group,31,10001,1910509
45901,The NYC Diplomacy and Risk Meetup Group,11,10001,915553
46423,The New York City Divorce Support Meetup Group,33,10001,3321482
47098,The NYC Dungeons & Dragons Meetup Group,11,10001,4676342
49130,The Soul Dreamers Club of New York,22,10001,3230331
50657,NYC Freegan Meetup,4,10001,1953652
52576,"NYC Showtime: Discount Concerts,Theater, Shows, and more",21,10001,11217621
54126,Energy Healers NYC,14,10001,1513133
54258,The Chicago English Bulldog Meetup Group,26,60601,2473069
54356,The San Francisco English Bulldog Meetup Group,26,94101,3138653
54474,The New York Enneagram of Personality Meetup Group,22,10001,2094611
54628,The New York City Entrepreneur Meetup Group,2,10001,4058853
54659,Entrepreneurs & VCs,2,94101,126222492
54691,SUCCESS! An Entrepreneurial Meetup Group,2,10001,82494832
54954,The New York City Environmental Meetup Group,2,10001,1274684
55272,"ESL ENGLISH COFFEE, CONVERSATION & FRIENDSHIP CHICAGO MEETUP",16,60601,7092500
56947,The Chicago Ex-Jehovah's Witnesses Meetup Group,28,60601,11087954
57434,The New York City Expat Meetup Group,31,10001,1985957
57688,New York City German Culture Group,16,10001,184750522
60592,The New York City ME/CFS &  Fibromyalgia  Meetup,33,10001,2052048
61473,Chicago Firefly/Serenity Meetup,29,60601,2173812
62721,The New York City Foreign Service Meetup Group,6,10001,442872
62769,The San Francisco Formula 1 Meetup Group,3,94101,184888684
62864,The Tri-State Fotolog Meetup Group,27,10001,659768
63491,The New York City Freemasons & Eastern Star Meetup Group,31,10001,2169496
63782,The Chicago French Language Meetup Group,16,60601,486530
63856,original new york french meetup,16,10001,1773050
63891,LES AMI(E)S FRANCOPHONES DE SAN FRANCISCO,16,94101,810537
64057,The Chicago Professionals Meetup,26,60601,228814602
64078,FRENCH BULLDOG NYC,26,10001,5777803
65784,IGDA NYC,34,10001,341570
65802,San Franciso Game Development Meetup Group,2,94101,569876
67696,The Chicago German Language Meetup Group,16,60601,2569830
67776,Flourishing Life Meetup,14,10001,9076601
67805,SF German Stammtisch,16,94101,3672645
71156,The Chicago Graphic Design Meetup Group,34,60601,5145183
72002,Greek Language & Culture Meetup (NYC),6,10001,2100141
75556,The New York City Hebrew Language Meetup Group,16,10001,893239
76638,The New York City Hiking Group,23,10001,9220318
76731,The NYC Hindi Meetup Group,16,10001,111314712
76809,The New York City Hinduism and Buddhism Meetup Group,28,10001,915553
77614,Chicago Area Homebirth Meetup,25,60601,219248640
81082,The New York City Information Architecture Meetup Group,34,10001,9094347
81314,The New York City Stock Traders  Meetup Group,2,10001,935150
81368,The San Francisco Investor's Business Daily Meetup Group,2,94101,34068522
82387,The New York City Pro-Peace Meetup Group,13,10001,14169117
82918,The NYC Indian Meetup Group,16,10001,915553
83211,Chicagoland Independent & Documentary Films/Movies[CIDFilms],20,60601,4828172
83236,The New York City Indie Film Meetup Group,20,10001,2709298
84585,New York Investing Meetup,2,10001,2468514
84905,The New York City Irish Language Meetup Group,16,10001,31477562
85362,The Chicago Italian Language Meetup Group,16,60601,33345842
85422,"New York City Italian Language, Food, & Culture Club",16,10001,5079184
85450,The San Francisco Italian Language Meetup Group,16,94101,3136421
86704,Chicago Japanese Language Meetup Group,16,60601,23306111
86777,The New York City Japanese Language Meetup Group,16,10001,474071
87095,The New York City Java Meetup Group,34,10001,2681753
88008,The New York City Jewelry Making Meetup Group,15,10001,471858
90497,The New York City Karaoke Meetup Group,31,10001,2800785
90517,SFBA Karaoke Meetup! :),21,94101,159390
91120,Integral New York's Ken Wilber Meetup,22,10001,11451033
92266,The New York City Korean Language Exchange Meetup,16,10001,3754417
93155,New York Lacrosse Club,32,10001,7260574
98850,THE NEW YORK CITY MALTESE MEETUP GROUP,26,10001,1921570
101329,New York City Meditation and Celebration,31,10001,915553
102531,The New York City Metaphysics Meetup Group,22,10001,915553
103986,The New York City Miniature Pinscher Meetup Group,26,10001,117826492
105714,The Chicagoland Fun & Food Fans Meetup Group,20,60601,192994119
107575,Chicago MySQL User Group Meetup,34,60601,8246539
107592,"SQL NYC, The NoSQL & NewSQL Database Meetup",34,10001,6618661
107604,#SFMySQL Meetup,34,94101,2267793
107970,The NY Mythology Group,22,10001,213559686
108878,The Chicago Natural Building Meetup Group,4,60601,2792370
110103,The Chicago New In Town Meetup Group,31,60601,1856384
110197,The New York City New In Town Meetup Group,31,10001,915553
110560,"NYC Travel, Local Trips, and Nightlife",31,10001,11217621
111855,Hypnosis & NLP NYC - Update Your Brain,14,10001,8250723
112155,NYC Non-Profit Meetup Club (NYCNP),4,10001,2759008
113455,Resilience NYC Meetup Group,4,10001,636120
115482,The TriState Pagan Community,28,10001,3480333
117061,The NYC Paranormal Meetup,24,10001,1746166
120182,NY Photo & Safari Meetup,27,10001,1512315
120903,SF PHP Community,34,94101,126468982
122646,The Chicago Poker Meetup Group,11,60601,1856747
122787,New York City Poker Group,11,10001,8963807
123071,The NYC Polish Social Group,16,10001,1761849
123543,The New York City Pomeranian Meetup Group,26,10001,7033608
125245,The New York City Progressive Muslim Meetup Group,28,10001,5228200
126290,Chicago Pugs,26,60601,1083417
126412,The NYC Pug Meetup Group,26,10001,1816112
129080,The New York City Rat Meetup Group,26,10001,1413259
