group_id,name,category_id,city_id
18879327,BachataMania,5,10001
18880221,Photoshoot Chicago - Photography and Modeling Events,27,60601
18880426,Chicago Adult Push / Kick Scooter Group Riding Meetup,31,60601
18880495,Chicago International Soccer Club,32,60601
18880695,Impact.tech San Francisco Meetup,2,94101
18880800,Fabulous Traveling Girlfriends | Tri-States,23,10001
18880954,Human Potential Technologies,34,10001
18881063,New to NYC!!,31,10001
18882590,School of Practical Philosophy,14,10001
18882695,New York Legal Networking Meetup,34,10001
18882736,NYC's The Right Clique Business Networking Group,2,10001
18883135,Podium Silicon Valley - SportsTech,2,94101
18883764,NYC Social Events/Singles/New Arrival/International,31,10001
18883878,SINGLES INTERNATIONAL/SOCIAL/NEW ARRIVAL,30,10001
18885154,SF Hardware,34,94101
18885897,Chicago Vocal Jam,21,60601
18886192,NYC CareerSearchers Job Search Support,2,10001
18886386,SF Enterprise Sales Forum,2,94101
18886539,Recruiters' Round Table,2,94101
18887421,Writers With Booze,36,94101
18887441,Bay Area Uterine Fibroids Support Group,33,94101
18887862,Alcohol Alchemy - Learn. Make. Share.,10,94101
18888742,Bay Area Travel and Activities Social Group,23,94101
18888926,Snowplow Analytics San Francisco,34,94101
18889173,Anna G's Social Sewing Club,15,60601
18889202,New York Spark Meetup,34,10001
18889839,BE A FRIEND Walkathon 2015,4,10001
18890979,Biotech Networking (BioNet),6,94101
18892372,New York Icelandic Language Meetup,16,10001
18892841,Chicago Thriller Flash Mob,9,60601
18892996,Cloud Native New York,34,10001
18893359,Sounds for your ears,1,10001
18893382,Career & Networking Opportunities for Web Workers of NYC,34,10001
18893414,"Publishing Technology - AI, Hadoop and More",34,10001
18893741,San Francisco Sensel / Touch Technology Meetup,34,94101
18894458,Chicago Unreal Engine Heroes,34,60601
18894678,The Real Estate League,2,10001
18895577,DisruptHR NYC,2,10001
18895923,ONUG Meetup,34,10001
18896284,Fun NYC Ladies 21-29 yrs,31,10001
18896825,Naked Cat Meetup,16,10001
18897022,Brunch With the Dogs,26,10001
18897526,Wannabe Music,21,10001
18898652,New York WooCommerce Meetup,34,10001
18898884,Live Sex! The SF Comedy Talk-Show Meetup,31,94101
18899146,"Networking in Chicago, Human Resources Meetup",2,60601
18899254,Product Management New York,34,10001
18900479,San Francisco Cigar Smokers,15,94101
18901932,Females and Asian Males (FAAM),30,94101
18902608,Garfield Park Conservatory ~ Music Under Glass,21,60601
18902793,Latino Professionals SF,23,94101
18905387,Fun Global Adventures 2,23,10001
18907916,Rigpa San Francisco Meditation Meetup,14,94101
18908526,Indians Living in New Jersey and New York Meetup,16,10001
18909093,SF Bay Area Packers Fans,32,94101
18910599,Heights Outdoor Yoga Meetup Group,14,10001
18910712,Smart Business Intelligence - New York Meetup,34,10001
18910784,Starting a Great Band,21,10001
18910990,NYC Behavioral Analytics Meetup,34,10001
18911533,New York MultiGroup Tech and Business Events,34,10001
18911821,New York API Management & Security Meetup,34,10001
18912583,Tesla Chicago,3,60601
18912980,Learn to Code - for Complete Beginners in San Francisco.,34,94101
18912994,Augmented Reality San Francisco Bay Area Meetup,34,94101
18913135,Younger Adult Meditation & Metaphysics (YAMMSF),22,94101
18913207,Data Engineering Professional Development San Francisco,34,94101
18913301,Breakfast With Founders,2,10001
18913335,Women's San Francisco Indoor Climbing Meetup,31,94101
18914300,Women To Know,2,10001
18914785,Kung Fu and Tai Chi in New York City parks,9,10001
18915562,Marty's Place calendar,33,94101
18915935,NY Directors and DPs,20,10001
18916488,Data Science Workshop,34,60601
18917377,Fashion Hackers,34,94101
18919897,Learn to Buy MultiFamily/FixnFlip by Buying With Your Mentor,2,10001
18920258,Dardanus Events,31,60601
18921919,Hire JavaScript Developers - San Francisco,34,94101
18922250,Medicine X - New York Area,2,10001
18922281,NYC Team Foundation Server and ALM Power Users,34,10001
18922355,Chicago Tech Slackers,34,60601
18922856,Lakeview Chicago Business Networking Happy Hour,2,60601
18923740,Social Media Marketing Society,2,94101
18925565,Deepen Your Love Relationship,14,10001
18925829,Better Living Through the Art of Female Domination NYC,14,10001
18926105,New Mobility World,3,60601
18927283,Hack-hers*,34,94101
18927308,"Turbo 360: Full Stack React, Redux, React Native",34,10001
18927379,Health Technology Forum: Chicago,2,60601
18927774,Developing The Attractive Mindset,14,10001
18927793,SF Seth Meetup,22,94101
18927882,Institute of Product Leadership Executive Speaker Series,34,94101
18928107,New York Muslim/ Jewish Interfaith Couples Meetup,16,10001
18928283,logan square movie night meetup/discussion,20,60601
18928581,NYC - Lower Manhattan Pickup Soccer,32,10001
18928668,"Barrels, Bites and Banter",10,10001
18931128,Metis: San Francisco Data Science,34,94101
18933903,French/English and Spanish/English Language Exchange in NYC,16,10001
18934599,New York Companies Seeking Access to Resources & Capital,2,10001
18934617,Tech Workers Coalition,13,94101
18934825,Pleasure Evolution - New York,17,10001
18935031,NYC Future of TV Content Group,2,10001
18935525,Chicago Arabic Book Club,18,60601
18935591,Design Museum San Francisco,1,94101
18937367,Early American Traditional and Folk Art Meetup,1,10001
18937940,AT&T NYC Research Seminar Series,34,10001
18938677,Powerlift SF,9,94101
