Gender,Child's First Name,Count
FEMALE,GERALDINE,13
FEMALE,GIA,21
FEMALE,GIANNA,49
FEMALE,GISELLE,38
FEMALE,GRACE,36
FEMALE,GUADALUPE,26
FEMALE,HAILEY,126
FEMALE,HALEY,14
FEMALE,HANNAH,17
FEMALE,HAYLEE,17
FEMALE,HAYLEY,13
FEMALE,HAZEL,10
FEMALE,HEAVEN,15
FEMALE,HEIDI,15
FEMALE,HEIDY,16
FEMALE,HELEN,13
FEMALE,IMANI,11
FEMALE,INGRID,11
FEMALE,IRENE,11
FEMALE,IRIS,10
FEMALE,ISABEL,28
FEMALE,ISABELA,10
FEMALE,ISABELLA,331
FEMALE,ISABELLE,18
FEMALE,ISIS,13
FEMALE,ITZEL,27
FEMALE,IZABELLA,23
FEMALE,JACQUELINE,30
FEMALE,JADA,21
FEMALE,JADE,50
FEMALE,JAELYNN,11
FEMALE,JAMIE,11
FEMALE,JANELLE,12
FEMALE,JASLENE,11
FEMALE,JASMIN,20
FEMALE,JASMINE,41
FEMALE,JAYDA,10
FEMALE,JAYLA,33
FEMALE,JAYLAH,12
FEMALE,JAYLEEN,51
FEMALE,JAYLENE,22
FEMALE,JAYLIN,13
FEMALE,JAYLYN,10
FEMALE,JAZLYN,16
FEMALE,JAZMIN,24
FEMALE,JAZMINE,14
FEMALE,JENNIFER,59
FEMALE,JESSICA,46
FEMALE,JIMENA,11
FEMALE,JOCELYN,46
FEMALE,JOHANNA,12
FEMALE,JOSELYN,30
FEMALE,JULIA,22
FEMALE,JULIANA,16
FEMALE,JULIANNA,21
FEMALE,JULIET,20
FEMALE,JULIETTE,15
FEMALE,JULISSA,16
FEMALE,KAELYN,11
FEMALE,KAILEY,20
FEMALE,KAILYN,11
FEMALE,KAITLYN,31
FEMALE,KAMILA,36
FEMALE,KAREN,41
FEMALE,KARLA,25
FEMALE,KATE,27
FEMALE,KATELYN,23
FEMALE,KATELYNN,10
FEMALE,KATHERINE,60
FEMALE,KATIE,12
FEMALE,KAYLA,62
FEMALE,KAYLEE,83
FEMALE,KAYLEEN,19
FEMALE,KAYLEIGH,10
FEMALE,KAYLIE,15
FEMALE,KAYLIN,12
FEMALE,KEILY,17
FEMALE,KELLY,41
FEMALE,KEYLA,12
FEMALE,KHLOE,57
FEMALE,KIARA,36
FEMALE,KIMBERLY,103
FEMALE,KRYSTAL,13
FEMALE,KYLEE,10
FEMALE,KYLIE,37
FEMALE,LAILA,29
FEMALE,LAURA,14
FEMALE,LAUREN,21
FEMALE,LAYLA,52
FEMALE,LEA,10
FEMALE,LEAH,123
FEMALE,LEILA,20
FEMALE,LEILANI,33
FEMALE,LESLEY,12
FEMALE,LESLIE,66
FEMALE,LESLY,16
FEMALE,LEYLA,10
FEMALE,LIA,26
FEMALE,LIANA,18
FEMALE,LILIANA,28
FEMALE,LILY,21
FEMALE,LINDSAY,12
FEMALE,LIZBETH,30
FEMALE,LONDON,27
FEMALE,LUCIA,20
FEMALE,LUNA,24
FEMALE,LUZ,25
FEMALE,MADELINE,15
FEMALE,MADELYN,16
FEMALE,MADISON,122
FEMALE,MAKAYLA,32
FEMALE,MARIA,59
FEMALE,MARIAH,33
FEMALE,MARIANA,12
FEMALE,MARILYN,10
FEMALE,MARISOL,10
FEMALE,MAYA,49
FEMALE,MEGAN,11
FEMALE,MELANIE,109
FEMALE,MELANY,14
FEMALE,MELISSA,50
FEMALE,MELODY,23
FEMALE,MIA,229
FEMALE,MIAH,17
FEMALE,MICHELLE,51
FEMALE,MIKAELA,14
FEMALE,MIKAYLA,26
FEMALE,MILA,19
FEMALE,MILEY,17
FEMALE,MIRANDA,11
FEMALE,MIRIAM,11
FEMALE,MYA,29
FEMALE,NADIA,14
FEMALE,NANCY,10
FEMALE,NAOMI,22
FEMALE,NATALIA,50
FEMALE,NATALIE,46
FEMALE,NATALY,13
FEMALE,NATASHA,11
FEMALE,NATHALIA,10
FEMALE,NATHALIE,26
FEMALE,NATHALY,20
FEMALE,NAYELI,17
FEMALE,NEVAEH,32
FEMALE,NICOLE,71
FEMALE,NINA,11
FEMALE,NOEMI,11
FEMALE,NYLA,16
FEMALE,OLIVIA,86
FEMALE,PAOLA,10
FEMALE,PENELOPE,14
FEMALE,PERLA,12
FEMALE,RACHEL,25
FEMALE,RAQUEL,11
FEMALE,REBECCA,10
FEMALE,RIHANNA,21
FEMALE,RILEY,12
FEMALE,ROSA,10
FEMALE,ROSE,11
FEMALE,ROSELYN,16
FEMALE,RUBY,20
FEMALE,SABRINA,25
FEMALE,SADIE,11
FEMALE,SAMANTHA,100
FEMALE,SAMARA,12
FEMALE,SARA,29
FEMALE,SARAH,53
FEMALE,SARAI,24
FEMALE,SARIAH,10
FEMALE,SASHA,10
FEMALE,SAVANNA,10
FEMALE,SAVANNAH,38
FEMALE,SCARLET,29
FEMALE,SCARLETT,65
FEMALE,SELENA,15
FEMALE,SERENITY,37
FEMALE,SHERLYN,13
FEMALE,SHIRLEY,15
FEMALE,SIENNA,17
FEMALE,SKYLA,21
FEMALE,SKYLAR,12
FEMALE,SOFIA,165
FEMALE,SOPHIA,223
FEMALE,SOPHIE,12
FEMALE,STACY,10
FEMALE,STELLA,11
FEMALE,STEPHANIE,50
FEMALE,STEPHANY,11
FEMALE,TATIANA,11
FEMALE,TAYLOR,13
FEMALE,TIANA,11
FEMALE,TIFFANY,24
FEMALE,VALENTINA,85
FEMALE,VALERIA,45
FEMALE,VALERIE,53
FEMALE,VANESSA,42
FEMALE,VERONICA,10
FEMALE,VICTORIA,114
FEMALE,VIOLET,14
FEMALE,VIVIANA,11
FEMALE,WENDY,12
FEMALE,XIMENA,18
FEMALE,YAMILET,11
FEMALE,YARETZI,22
FEMALE,ZOE,65
FEMALE,ZOEY,27
FEMALE,ABIGAIL,103
FEMALE,ADDISON,19
FEMALE,ADELE,22
FEMALE,ADELINE,12
FEMALE,ADINA,19
FEMALE,ADRIANA,29
FEMALE,ADRIANNA,18
FEMALE,AHUVA,16
FEMALE,ALESSANDRA,20
FEMALE,ALESSIA,14
FEMALE,ALEXA,54
FEMALE,ALEXANDRA,109
FEMALE,ALEXIS,27
FEMALE,ALICE,50
FEMALE,ALICIA,11
FEMALE,ALINA,11
FEMALE,ALISA,14
FEMALE,ALIZA,22
FEMALE,ALLISON,15
FEMALE,ALYSSA,28
FEMALE,AMANDA,15
FEMALE,AMELIA,62
FEMALE,AMELIE,15
FEMALE,AMINA,17
FEMALE,AMIRA,11
FEMALE,AMY,11
FEMALE,ANASTASIA,19
FEMALE,ANGELICA,10
FEMALE,ANGELINA,50
FEMALE,ANNA,85
