Country,Score,GDP per capita,Social support,Life expectancy,Generosity
Finland,7.769,1.34,1.587,0.986,0.153
Denmark,7.6,1.383,1.573,0.996,0.252
Norway,7.554,1.488,1.582,1.028,0.271
Iceland,7.494,1.38,1.624,1.026,0.354
Netherlands,7.488,1.396,1.522,0.999,0.322
Switzerland,7.48,1.452,1.526,1.052,0.263
Sweden,7.343,1.387,1.487,1.009,0.267
New Zealand,7.307,1.303,1.557,1.026,0.33
Canada,7.278,1.365,1.505,1.039,0.285
Austria,7.246,1.376,1.475,1.016,0.244
Australia,7.228,1.372,1.548,1.036,0.332
Costa Rica,7.167,1.034,1.441,0.963,0.144
Israel,7.139,1.276,1.455,1.029,0.261
Luxembourg,7.09,1.609,1.479,1.012,0.194
United Kingdom,7.054,1.333,1.538,0.996,0.348
Ireland,7.021,1.499,1.553,0.999,0.298
Germany,6.985,1.373,1.454,0.987,0.261
Belgium,6.923,1.356,1.504,0.986,0.16
United States,6.892,1.433,1.457,0.874,0.28
Czech Republic,6.852,1.269,1.487,0.92,0.046
United Arab Emirates,6.825,1.503,1.31,0.825,0.262
Malta,6.726,1.3,1.52,0.999,0.375
Mexico,6.595,1.07,1.323,0.861,0.074
France,6.592,1.324,1.472,1.045,0.111
Taiwan,6.446,1.368,1.43,0.914,0.242
Chile,6.444,1.159,1.369,0.92,0.187
Guatemala,6.436,0.8,1.269,0.746,0.175
Saudi Arabia,6.375,1.403,1.357,0.795,0.08
Qatar,6.374,1.684,1.313,0.871,0.22
Spain,6.354,1.286,1.484,1.062,0.153
Panama,6.321,1.149,1.442,0.91,0.109
Brazil,6.3,1.004,1.439,0.802,0.099
Uruguay,6.293,1.124,1.465,0.891,0.127
Singapore,6.262,1.572,1.463,1.141,0.271
El Salvador,6.253,0.794,1.242,0.789,0.093
Italy,6.223,1.294,1.488,1.039,0.158
Bahrain,6.199,1.362,1.368,0.871,0.255
Slovakia,6.198,1.246,1.504,0.881,0.121
